text,intent,cluster_kmeans,cluster_dbscan,x,y,label_kmeans,label_dbscan
i have an issue with the online registration,registration_problems,15,0,15.717218,6.4393516,"sign, signup, inform","registration, inform, report"
can you help me to open a standard account?,create_account,4,1,11.690484,3.6618705,"account, need, help","account, standard, change"
"i want to locate order , could i get some help?",track_order,1,2,6.2400804,13.979756,"order, purchase, help","order, purchase, help"
how could i check how long it takes for my parcel to arrive?,delivery_period,0,3,-12.444723,0.978397,"arrive, soon, expect","arrive, check, help"
i need help chanigng the shipping address,change_shipping_address,5,4,4.14116,-2.500643,"address, delivery, shipping","address, delivery, shipping"
i try to check when will my article arrive,delivery_period,0,5,-15.61284,14.337858,"arrive, soon, expect","article, arrive, help"
"i need to sign up to the newsletter, how can i do it?",newsletter_subscription,10,6,-1.9700209,-9.700108,"newsletter, help, corporate","newsletter, corporate, sign"
"i want to see your payment modalities, can i get some help?",check_payment_methods,11,7,-4.9856944,24.786861,"payment, methods, help","payment, methods, help"
how could i notify of errors with a sign-up?,registration_problems,15,8,14.519856,1.7888037,"sign, signup, inform","sign, signup, notify"
seeing invoices from,check_invoice,17,9,2.9144082,18.709253,"invoice, invoices, know","invoice, invoices, download"
help adding several products to purchase,change_order,1,10,5.5329313,14.412337,"order, purchase, help","item, help, product"
i cannot speak with a person,contact_human_agent,3,11,-5.3921237,5.298101,"customer, talk, assistance","customer, assistance, talk"
"i expect a refund of dollars, has it been processed?",track_refund,2,12,-9.141206,11.70229,"help, money, refund","money, restitution, help"
find information about the termination of my account,delete_account,4,13,6.4068666,6.8976016,"account, need, help","account, know, standard"
remove platinum account,delete_account,4,14,7.797172,3.9421332,"account, need, help","account, platinum, need"
"i have got to close my damn platinum account, i need help",delete_account,4,14,7.752414,3.9266593,"account, need, help","account, platinum, need"
need help to change to the account,switch_account,4,1,12.174175,4.9186993,"account, need, help","account, standard, change"
can ya tell me what payment payment modalities ya accept,check_payment_methods,11,7,-5.0349975,24.82375,"payment, methods, help","payment, methods, help"
how to submit another shipping address,set_up_shipping_address,5,4,3.0753984,-2.5843842,"address, delivery, shipping","address, delivery, shipping"
"i want to see the termination fee, help me",check_cancellation_fee,8,15,23.323187,6.7110376,"termination, early, check","termination, check, fee"
update data on account,edit_account,4,1,11.371765,5.26466,"account, need, help","account, standard, change"
i dont know what to do to close my account,delete_account,4,13,6.3001523,7.8707027,"account, need, help","account, know, standard"
i dont know how to open a account for my daughter,create_account,4,16,8.89259,5.629682,"account, need, help","account, premium, daughter"
"i need to enter a secondary delivery address, help me",set_up_shipping_address,5,17,1.9931891,-1.3459374,"address, delivery, shipping","address, secondary, delivery"
could you help me to report an error with online payment?,payment_issue,7,18,1.9744612,24.443129,"payment, online, payments","payment, online, payments"
assistance checking in what cases can i request a refund,check_refund_policy,2,19,-6.9077277,10.056923,"help, money, refund","refunds, refund, request"
"i have to leave a comment for a product, i need assistance",review,9,20,-5.1712747,-0.6678795,"feedback, leave, help","feedback, leave, help"
i have got to open a account for my daughter,create_account,4,16,8.88805,5.6297054,"account, need, help","account, premium, daughter"
idont use my account want assistance to remove it,delete_account,4,13,5.594677,7.3966007,"account, need, help","account, know, standard"
i need assistance checking ur allowed payment modalities,check_payment_methods,11,7,-5.1248865,24.720154,"payment, methods, help","payment, methods, help"
i dont know how i can find my damn invoices from,check_invoice,17,9,2.9222424,18.689701,"invoice, invoices, know","invoice, invoices, download"
can i check what hours i can contact customer service?,contact_customer_service,14,21,-14.186461,6.530897,"customer, hours, help","customer, hours, help"
invalid shipping address,set_up_shipping_address,5,4,4.1574903,-2.6172574,"address, delivery, shipping","address, delivery, shipping"
i do not know what i need to do to talk with somebody,contact_human_agent,3,11,-5.461249,5.438957,"customer, talk, assistance","customer, assistance, talk"
want help reporting issues with signup,registration_problems,15,8,14.218408,2.4460142,"sign, signup, inform","sign, signup, notify"
problems with the removal of my gold account,delete_account,4,22,7.7264957,6.7938356,"account, need, help","gold, account, information"
can i check what hours customer assistance available is?,contact_customer_service,14,21,-14.220439,6.408234,"customer, hours, help","customer, hours, help"
help to use the profile,switch_account,4,23,11.182608,6.9362893,"account, need, help","profile, use, help"
i want help to file a customer complaint against ur business,complaint,12,24,0.114994384,5.881495,"claim, complaint, help","claim, complaint, help"
"i missed a product in order , can i add it?",change_order,1,10,5.780861,14.455014,"order, purchase, help","item, help, product"
i dont know what i need to do to check the withdrawal fees,check_cancellation_fee,8,25,21.072168,2.2218997,"termination, early, check","withdrawal, charge, help"
remove something from order,change_order,1,26,8.967417,13.276554,"order, purchase, help","order, delete, help"
i do not know what to do to open a account,create_account,4,1,12.038069,3.4914045,"account, need, help","account, standard, change"
help to report registration errors,registration_problems,15,0,15.645882,6.5197425,"sign, signup, inform","registration, inform, report"
"you are not helpful, how to chat with an agent?",contact_human_agent,3,27,-4.8829393,14.516702,"customer, talk, assistance","agent, talk, human"
want assistance to make a claim,complaint,12,24,-0.4077044,7.041102,"claim, complaint, help","claim, complaint, help"
where can i find information about the methods for shipping?,delivery_options,16,28,5.5252976,-6.8952403,"options, methods, delivery","shipping, methods, options"
"i want to check the termination fee , help me",check_cancellation_fee,8,15,23.32463,6.711606,"termination, early, check","termination, check, fee"
can you help me seeing the invoices from ?,check_invoice,17,9,2.9082887,18.708326,"invoice, invoices, know","invoice, invoices, download"
can i open a standard account for my daughter?,create_account,4,16,8.88429,5.64004,"account, need, help","account, premium, daughter"
